"Datacenter","ansible_fqdn","ansible_host"
"igqprqavc01","seatscms19ora01.alaskaair.com","10.80.88.70"
"igqprqavc01","seatsct19cora02.alaskaair.com","10.80.102.156"
"igqprqavc01","seatsere19ora01.alaskaair.com","10.80.88.20"
"igqprqavc01","seatsewa19ora01.alaskaair.com","10.80.88.13"
"igqprqavc01","seatsgpdb01.alaskaair.com","10.80.96.171"
"igqprqavc01","seatsinfrmdb01.alaskaair.com","10.80.100.17"
"igqprqavc01","seatsoam12cdb01.alaskaair.com","10.80.98.207"
"igqprqavc01","seatsol7repo01.alaskaair.com","10.80.100.18"
"igqprqavc01","seatsoptmodb01.alaskaair.com","10.80.100.62"
"igqprqavc01","seatspsfinora10","10.80.102.18"
"igqprqavc01","seatspsfinora20","10.80.102.38"
"igqprqavc01","seatspsmdb01.alaskaair.com","10.80.97.7"
"igqprqavc01","seatsqtx12cor01.alaskaair.com","10.80.101.146"
"igqprqavc01","seatsqtx19cor01.alaskaair.com","10.80.100.71"
"igqprqavc01","seatsqtx19ora01.alaskaair.com","10.80.88.23"
"igqprqavc01","seatsrealtora01.alaskaair.com","10.80.103.13"
"igqprqavc01","seatss4a19ora01.alaskaair.com","10.80.88.36"
"igqprqavc01","seatss4actdb01","10.80.96.9"
"igqprqavc01","seatss4atrdb01a.alaskaair.com","10.80.72.54"
"igqprqavc01","seatssbl19ora01.alaskaair.com","172.20.77.74"
"igqprqavc01","seatssbl19ora02.alaskaair.com","172.20.77.77"
"igqprqavc01","seatstlinesol8.alaskaair.com","10.80.97.154"
"igqprqavc01","seatstws19ora01.alaskaair.com","159.49.196.146"
"igqprqavc01","seatstws19ora02.alaskaair.com","159.49.196.147"
"igqprqavc01","seatstwsdb02.alaskaair.com","10.80.120.156"
"se4prtsvc01","se4alpshcmora01.aagqa.net","10.34.129.22"
"se4prtsvc01","se4alpshcmora02.alaskaair.com","10.34.129.26"
"se4prtsvc01","se4bdpshcmora01.aagqa.net","10.34.129.21"
"se4prtsvc01","se4bdpshcmora02.aagqa.net","10.34.129.25"
"se4prtsvc01","se4dvpshcmora01.aagqa.net","10.34.129.23"
"se4prtsvc01","se4dvpshcmora02.aagqa.net","10.34.129.16"
"se4prtsvc01","se4tsoradiora01.aagqa.net","10.34.129.27"
"se4prtsvc01","se4tspshcmora01.alaskaair.com","10.34.129.24"
"se4prtsvc01","se4tspshcmora02.aagqa.net","10.34.129.17"
