"Datacenter","ansible_fqdn","ansible_host"
"igqprqavc01","igqqatrs4amq01.alaskaair.com","10.24.20.62"
"igqprqavc01","igqqatrs4amq02.alaskaair.com","10.24.20.63"
"igqprqavc01","igqqatrs4apgdb01.alaskaair.com","10.24.20.42"
"igqprqavc01","igqqavrapig28","10.80.96.32"
"igqprqavc01","ocp-infra01.igq-ocp-qa.alaskaair.com","10.80.164.28"
"igqprqavc01","ocp-infra02.igq-ocp-qa.alaskaair.com","10.80.164.27"
"igqprqavc01","ocp-infra03.igq-ocp-qa.alaskaair.com","10.80.164.64"
"igqprqavc01","ocp-infra04.igq-ocp-qa.alaskaair.com","10.80.164.65"
"igqprqavc01","ocp-infra05.igq-ocp-qa.alaskaair.com","10.80.164.66"
"igqprqavc01","ocplabbastion01","10.80.103.57"
"igqprqavc01","ocp-master01.igq-ocp-qa.alaskaair.com","10.80.164.18"
"igqprqavc01","ocp-master02.igq-ocp-qa.alaskaair.com","10.80.164.17"
"igqprqavc01","ocp-master03.igq-ocp-qa.alaskaair.com","10.80.164.19"
"igqprqavc01","ocp-storage01.igq-ocp-qa.alaskaair.com","10.80.164.26"
"igqprqavc01","ocp-storage02.igq-ocp-qa.alaskaair.com","10.80.164.25"
"igqprqavc01","ocp-storage03.igq-ocp-qa.alaskaair.com","10.80.164.24"
"igqprqavc01","ocp-worker01.igq-ocp-qa.alaskaair.com","10.80.164.21"
"igqprqavc01","ocp-worker02.igq-ocp-qa.alaskaair.com","10.80.164.23"
"igqprqavc01","ocp-worker03.igq-ocp-qa.alaskaair.com","10.80.164.22"
"igqprqavc01","localhost.localdomain",
"igqprqavc01","localhost.localdomain",
"igqprqavc01","se4tsdbapgdb01.alaskaair.com","159.49.196.79"
"igqprqavc01","seaalpsfinapp01","10.80.102.43"
"igqprqavc01","seaalpsfinapp02.alaskaair.com","10.80.101.161"
"igqprqavc01","seabdpsfinapp02.alaskaair.com","10.80.101.152"
"igqprqavc01",,
"igqprqavc01","seadvcms8inf01.alaskaair.com","10.80.88.24"
"igqprqavc01","seadvcms8pws01.alaskaair.com","10.80.88.26"
"igqprqavc01","seadvcms8sps01.alaskaair.com","10.80.88.25"
"igqprqavc01","seadvcms8web01.alaskaair.com","10.80.88.27"
"igqprqavc01","seadvfltopsdb01.alaskaair.com","159.49.199.147"
"igqprqavc01","seadvftmsdb01","10.80.88.30"
"igqprqavc01","seadvftmsdba1","10.80.88.33"
"igqprqavc01","seadviselab01","10.80.98.163"
"igqprqavc01","seadviselab02","10.80.98.165"
"igqprqavc01","seadvkubesvr01","10.80.101.133"
"igqprqavc01","seadvkubesvr02","10.80.101.165"
"igqprqavc01","seadvkubesvr03","10.80.101.171"
"igqprqavc01","seadvkubesvr04","10.80.102.15"
"igqprqavc01","seadvnetdock01.alaskaair.com","10.80.102.14"
"igqprqavc01","seadvnetjump01.alaskaair.com","10.80.88.65"
"igqprqavc01","seadvnetops01.alaskaair.com","10.80.102.120"
"igqprqavc01","seadvpsfinapp10","10.80.102.40"
"igqprqavc01","seadvpsfinapp20","10.80.102.34"
"igqprqavc01","seadvrhel601.alaskaair.com","10.80.96.75"
"igqprqavc01","seadvrhel703","10.80.96.76"
"igqprqavc01","seadvrhelray01","10.80.102.139"
"igqprqavc01",,
"igqprqavc01","seadvvaultsvr01","10.80.101.195"
"igqprqavc01","seadvvaultsvr02","10.80.101.196"
"igqprqavc01","seadvvaultsvr03","10.80.101.197"
"igqprqavc01","seadvvaultsvr04","10.80.101.198"
"igqprqavc01",,
"igqprqavc01","seadvvststst01","10.80.99.44"
"igqprqavc01","seadvzenoss01.alaskaair.com","10.80.88.72"
"igqprqavc01","seaqa02s4aapp01.alaskaair.com","172.20.77.104"
